ID_Partido;Ronda_Global;Equipo_Local;Rival;Jornada_Eq;Fecha;Ubicacion;Estado;Visibilidad;Categoria;Pabellon
RFEVB_1344;1;Universidad de Valladolid VCV;Universidad de Granada;1;03/10/2026 16:30;VISITANTE;ABIERTO;MOSTRAR;SM2;PABELLÓN UNIVERSIADA FUENTENUEVA
RFEVB_1353;2;Universidad de Valladolid VCV;CDE Parla Vóley;2;10/10/2026 18:15;LOCAL;ABIERTO;MOSTRAR;SM2;PABELLÓN FUENTE DE LA MORA
RFEVB_1357;3;Universidad de Valladolid VCV;CV Gupane Guía;3;17/10/2026 19:00;VISITANTE;ABIERTO;MOSTRAR;SM2;PABELLÓN BEATRIZ MENDOZA RIVERO
RFEVB_1364;4;Universidad de Valladolid VCV;Club Voleibol Oviedo;4;24/10/2026 20:30;LOCAL;ABIERTO;MOSTRAR;SM2;PABELLÓN FUENTE DE LA MORA
RFEVB_1370;5;Universidad de Valladolid VCV;Club Voleibol Dumbría;5;31/10/2026 18:30;VISITANTE;ABIERTO;MOSTRAR;SM2;PABELLÓN MUNICIPAL O CONCO
RFEVB_1376;6;Universidad de Valladolid VCV;Arenal Emevé;6;07/11/2026 18:15;LOCAL;ABIERTO;MOSTRAR;SM2;PABELLÓN FUENTE DE LA MORA
RFEVB_1383;7;Universidad de Valladolid VCV;Vóley Playa Madrid;7;15/11/2026 10:30;VISITANTE;ABIERTO;MOSTRAR;SM2;C.D.M. ENTREVÍAS
RFEVB_1386;8;Universidad de Valladolid VCV;COX CV Collado Villalba;8;21/11/2026 20:30;LOCAL;ABIERTO;MOSTRAR;SM2;PABELLÓN FUENTE DE LA MORA
RFEVB_1396;9;Universidad de Valladolid VCV;Cisneros La Laguna;9;29/11/2026 12:00;VISITANTE;ABIERTO;MOSTRAR;SM2;COLEGIO CISNEROS ALTER
RFEVB_1397;10;Universidad de Valladolid VCV;CID Jovellanos;10;06/12/2026 12:00;VISITANTE;ABIERTO;MOSTRAR;SM2;PABELLÓN DE DEPORTES LA ARENA
RFEVB_1408;11;Universidad de Valladolid VCV;Rivas Ciudad del Deporte;11;12/12/2026 20:30;LOCAL;ABIERTO;MOSTRAR;SM2;PABELLÓN FUENTE DE LA MORA
RFEVB_1410;12;Universidad de Valladolid VCV;Universidad de Granada;12;19/12/2026 16:00;LOCAL;ABIERTO;MOSTRAR;SM2;PABELLÓN FUENTE DE LA MORA
RFEVB_1419;13;Universidad de Valladolid VCV;CDE Parla Vóley;13;17/01/2027 13:15;VISITANTE;ABIERTO;MOSTRAR;SM2;Polideportivo La Cantueña
